name,version,license,classification,direct_dependency,integrity,resolved
@esbuild/linux-arm64,0.27.4,MIT,development,no,sha512-7nQOttdzVGth1iz57kxg9uCz57dxQLHWxopL6mYuYthohPKEK0vU0C3O21CcBK6KDlkYVcnDXY099HcCDXd9dA==,https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.27.4.tgz
@esbuild/linux-arm64,0.27.4,MIT,development,no,sha512-7nQOttdzVGth1iz57kxg9uCz57dxQLHWxopL6mYuYthohPKEK0vU0C3O21CcBK6KDlkYVcnDXY099HcCDXd9dA==,https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.27.4.tgz
@esbuild/linux-ia32,0.27.4,MIT,development,no,sha512-oPtixtAIzgvzYcKBQM/qZ3R+9TEUd1aNJQu0HhGyqtx6oS7qTpvjheIWBbes4+qu1bNlo2V4cbkISr8q6gRBFA==,https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.27.4.tgz
@esbuild/linux-ia32,0.27.4,MIT,development,no,sha512-oPtixtAIzgvzYcKBQM/qZ3R+9TEUd1aNJQu0HhGyqtx6oS7qTpvjheIWBbes4+qu1bNlo2V4cbkISr8q6gRBFA==,https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.27.4.tgz
@esbuild/linux-loong64,0.27.4,MIT,development,no,sha512-8mL/vh8qeCoRcFH2nM8wm5uJP+ZcVYGGayMavi8GmRJjuI3g1v6Z7Ni0JJKAJW+m0EtUuARb6Lmp4hMjzCBWzA==,https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.27.4.tgz
@esbuild/linux-loong64,0.27.4,MIT,development,no,sha512-8mL/vh8qeCoRcFH2nM8wm5uJP+ZcVYGGayMavi8GmRJjuI3g1v6Z7Ni0JJKAJW+m0EtUuARb6Lmp4hMjzCBWzA==,https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.27.4.tgz
@esbuild/linux-mips64el,0.27.4,MIT,development,no,sha512-1RdrWFFiiLIW7LQq9Q2NES+HiD4NyT8Itj9AUeCl0IVCA459WnPhREKgwrpaIfTOe+/2rdntisegiPWn/r/aAw==,https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.27.4.tgz
@esbuild/linux-mips64el,0.27.4,MIT,development,no,sha512-1RdrWFFiiLIW7LQq9Q2NES+HiD4NyT8Itj9AUeCl0IVCA459WnPhREKgwrpaIfTOe+/2rdntisegiPWn/r/aAw==,https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.27.4.tgz
@esbuild/linux-ppc64,0.27.4,MIT,development,no,sha512-tLCwNG47l3sd9lpfyx9LAGEGItCUeRCWeAx6x2Jmbav65nAwoPXfewtAdtbtit/pJFLUWOhpv0FpS6GQAmPrHA==,https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.27.4.tgz
@esbuild/linux-ppc64,0.27.4,MIT,development,no,sha512-tLCwNG47l3sd9lpfyx9LAGEGItCUeRCWeAx6x2Jmbav65nAwoPXfewtAdtbtit/pJFLUWOhpv0FpS6GQAmPrHA==,https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.27.4.tgz
